Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle,88.61,1,"44,305","930,405",05/02/2019,10:21,Cash,88.61,"4,761,904,762","44,305",7.7
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,"9,982","209,622",05/02/2019,18:09,Credit card,199.64,"4,761,904,762","9,982",6.7
573-10-3877,B,Mandalay,Member,Male,Health and beauty,39.01,1,"19,505","409,605",05/02/2019,16:46,Credit card,39.01,"4,761,904,762","19,505",4.7
735-06-4124,C,Naypyitaw,Normal,Male,Food and beverages,48.61,1,"24,305","510,405",05/02/2019,15:31,Cash,48.61,"4,761,904,762","24,305",4.4
439-54-7422,A,Yangon,Normal,Female,Electronic accessories,51.19,4,"10,238","214,998",05/02/2019,17:15,Credit card,204.76,"4,761,904,762","10,238",4.7
396-90-2219,B,Mandalay,Normal,Female,Electronic accessories,14.96,8,"5,984","125,664",05/02/2019,12:29,Cash,119.68,"4,761,904,762","5,984",8.6
411-77-0180,A,Yangon,Member,Male,Electronic accessories,72.2,7,25.27,530.67,05/02/2019,20:14,Ewallet,505.4,"4,761,904,762",25.27,4.3
286-01-5402,A,Yangon,Normal,Female,Sports and travel,40.23,7,"140,805","2,956,905",05/02/2019,13:22,Cash,281.61,"4,761,904,762","140,805",9.6
803-17-8013,A,Yangon,Member,Female,Home and lifestyle,88.79,8,"35,516","745,836",05/02/2019,17:09,Cash,710.32,"4,761,904,762","35,516",4.1
512-98-1403,A,Yangon,Member,Female,Electronic accessories,26.48,3,"3,972","83,412",05/02/2019,10:40,Ewallet,79.44,"4,761,904,762","3,972",4.7
848-42-2560,A,Yangon,Normal,Female,Fashion accessories,81.91,2,"8,191","172,011",05/02/2019,17:43,Cash,163.82,"4,761,904,762","8,191",7.8
532-59-7201,B,Mandalay,Member,Male,Sports and travel,79.93,6,"23,979","503,559",05/02/2019,14:04,Cash,479.58,"4,761,904,762","23,979",5.5
181-94-6432,C,Naypyitaw,Member,Male,Fashion accessories,69.33,2,"6,933","145,593",05/02/2019,19:05,Ewallet,138.66,"4,761,904,762","6,933",9.7
870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23,5,"35,575","747,075",05/02/2019,10:08,Credit card,71.15,"4,761,904,762","35,575",4.4
423-64-4619,A,Yangon,Member,Female,Health and beauty,15.55,9,"69,975","1,469,475",05/02/2019,13:12,Cash,139.95,"4,761,904,762","69,975",5
227-07-4446,C,Naypyitaw,Member,Female,Electronic accessories,78.13,10,"39,065","820,365",05/02/2019,20:51,Cash,781.3,"4,761,904,762","39,065",4.4
